"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2019","12","1","Mindfulness, Bliss, and Beyond: A Meditator's Handbook","Brahm","New Age, Nonfiction","Simon & Schuster, Inc.","2010"
"Physical","Horizon","SOUNDDISC","2019","12","5","Rumpelstiltskin / written and illustrated by Paul Galdone.","Galdone, Paul","Folklore Germany, Fairy tales, Talking books","Houghton Mifflin Co.,","[2008]"
"Physical","Horizon","BOOK","2019","12","1","Boho baby knits : groovy patterns for cool tots / Kat Coyle ; photography by Frank Heckers ; illustrations by Marion Vitus.","Coyle, Kat","Knitting Patterns, Childrens clothing","Clarkson Potter,","[2007]"
"Digital","OverDrive","EBOOK","2019","12","1","The Spark: A Mother's Story of Nurturing, Genius, and Autism","Kristine Barnett","Biography & Autobiography, Medical, Nonfiction","Random House, Inc.","2013"
"Physical","Horizon","SOUNDDISC","2019","12","1","$10,000,000 marriage proposal / James Patterson with Hilary Liftin.","Patterson, James, 1947-","Marriage proposals Fiction, Businessmen Fiction, Suspense fiction, Thrillers Fiction, Audiobooks","Hachette Audio,","[2016]"
"Physical","Horizon","BOOK","2019","12","1","Rotherweird / Andrew Caldecott ; illustrated by Sasha Laika.","Caldecott, Andrew","Imaginary places Fiction, Cities and towns England History Fiction, Secrecy Fiction, Fantasy fiction, Historical fiction, Fantasy fiction","Jo Fletcher Books,","2019."
"Physical","Horizon","BOOK","2019","12","1","Setting the turkeys free / written by W. Nikola-Lisa ; illustrated by Ken Wilson-Max.","Nikola-Lisa, W.","Turkeys Juvenile fiction, Foxes Juvenile fiction, Artists Juvenile fiction, Thanksgiving Day Juvenile fiction","Jump at the Sun/Hyperion Books for Children,","[2004]"
"Digital","OverDrive","EBOOK","2019","12","3","Inside of a Dog: What Dogs See, Smell, and Know","Alexandra Horowitz","Nonfiction, Pets, Psychology, Science","Simon & Schuster, Inc.","2014"
"Physical","Horizon","VIDEODISC","2019","12","6","The jewel in the crown / Granada Television ; ITV Studios Global Entertainment ; in association with WGBH Boston ; produced by Christopher Morahan ; adapted by Ken Taylor ; directed by Christopher Morahan and Jim O'Brien.",,"Culture conflict India Drama, Decolonization Drama, English India Drama, Prisoners Abuse of Drama, Man woman relationships India Drama, Independence Day India Drama, India History 1919 1947 Drama, India History British occupation 1765 1947 Drama, India Politics and government 20th century Drama, Television mini series, Fiction television programs, Historical television programs, Video recordings for the hearing impaired","PBS Distribution,","2015."
"Physical","Horizon","VIDEODISC","2019","12","4","4 mosche di velluto grigio / Cinema International Corporation ; un film prodotto da Salvatore Argento per la Seda Spettacoli - Roma e la Universal Prod. France-Parigi ; da un soggetto originale di Dario Argento, Luigi Cozzi, Mario Foglietti ; sceneggiato e diretto da Dario Argento.",,"Drummers Musicians Drama, Stalkers Drama, Murder Drama, Horror films, Fiction films, Feature films, Motion pictures Italian","Mya Communication : Ryko Distribution,","2008."
