"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","AUDIOBOOK","2020","5","21","The Happy Ever After Playlist (Unabridged)","Abby Jimenez","Fiction, Humor (Fiction), Literature, Romance","Blackstone Audio, Inc.","2020"
"Digital","OverDrive","EBOOK","2020","5","1","Bright, Precious Days: A novel","Jay McInerney","African American Fiction, Fiction, Literature","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2020","5","7","Someone to Hold: Westcott Series, Book 2","Mary Balogh","Fiction, Historical Fiction, Romance","Penguin Group (USA), Inc.","2017"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","Rabbit Ears World Tales, Volume 6: The Firebird, The Monkey People (unabridged) (Unabridged)","Rabbit Ears","Juvenile Fiction","Books on Tape","2007"
"Digital","OverDrive","AUDIOBOOK","2020","5","5","The Convictions of John Delahunt: A Novel (unabridged) (Unabridged)","Andrew Hughes","Fiction, Historical Fiction, Literature, Mystery","Dreamscape Media, LLC","2020"
"Digital","OverDrive","AUDIOBOOK","2020","5","4","Tricked: Fairy Tale Reform School Series, Book 3 (unabridged) (Unabridged)","Jen Calonita","Folklore, Juvenile Fiction, Juvenile Literature","Dreamscape Media, LLC","2017"
"Digital","OverDrive","EBOOK","2020","5","2","Sky High: George Ferris's Big Wheel","Monica Kulling","Biography & Autobiography, History, Juvenile Nonfiction, Science","Random House, Inc.","2016"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","Wicked Beat: Sinners on Tour Series, Book 5 (unabridged) (Unabridged)","Olivia Cunning","Erotic Literature, Fiction, Romance","Tantor Media, Inc","2018"
"Digital","OverDrive","EBOOK","2020","5","2","The Aerosmurf: The Smurfs Graphic Novels, Book 16","Peyo","Comic and Graphic Books, Juvenile Fiction","Macmillan Publishers","2015"
"Digital","OverDrive","EBOOK","2020","5","1","Murmel, Murmel, Murmel","Robert Munsch","Juvenile Fiction, Picture Book Fiction","Open Road Integrated Media","2013"
"Digital","OverDrive","EBOOK","2020","5","1","Super Marsupials: Kangaroos, Koalas, Wombats, and More","Katharine Kenah","Juvenile Nonfiction, Nature, Science","HarperCollins Publishers Inc.","2019"
"Digital","OverDrive","AUDIOBOOK","2020","5","1","Sacred Stone: Oregon Files, Book 2 (unabridged) (Unabridged)","Clive Cussler","Fiction, Suspense, Thriller","Books on Tape","2016"
"Digital","OverDrive","EBOOK","2020","5","1","At Home in France: Tales of an American and Her House Aboard","Ann Barry","Nonfiction, Travel","Random House, Inc.","2011"
"Digital","OverDrive","EBOOK","2020","5","1","Nate the Great and the Snowy Trail: Nate the Great Series, Book 7","Marjorie Weinman Sharmat","Beginning Reader, Juvenile Fiction, Mystery","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2020","5","1","The Curiosity Keeper: Treasures of Surrey Series, Book 1","Sarah E. Ladd","Christian Fiction, Fiction, Historical Fiction, Romance","Thomas Nelson Inc.","2015"
"Digital","OverDrive","EBOOK","2020","5","6","The Third Option: Mitch Rapp Series, Book 4","Vince Flynn","Fiction, Suspense, Thriller","Simon & Schuster, Inc.","2014"
"Digital","OverDrive","EBOOK","2020","5","1","Pâté, Confit, Rillette: Recipes from the Craft of Charcuterie","Brian Polcyn","Cooking & Food, Nonfiction","W. W. Norton & Company","2019"
